UWI,DATUM,GL,EREF,UNIT,datum
00/06-11-077-09W4/0,631.7,631.7,635.8,M,635.8
00/06-11-077-13W4/0,677.692,677.692,681.045,M,681.045
00/06-11-078-07W4/0,536.814,533.461,536.814,M,536.814
00/06-11-079-09W4/0,640.385,637.733,640.385,M,640.385
00/06-11-082-02W4/0,1562,1552,1562,F,476.0976
00/06-11-087-22W4/0,559.613,559.613,563.27,M,563.27
00/06-11-089-25W4/0,617.98,617.98,621.5,M,621.5
00/06-12-072-08W4/0,675.8,675.8,679.3,M,679.3
00/06-12-072-23W4/0,619.96,619.96,623.3,M,623.3
00/06-12-078-15W4/0,624.85,620.5,624.85,M,624.85
00/06-12-079-06W4/0,479.3,475.8,479.3,M,479.3
00/06-12-079-18W4/0,544.525,541.477,544.525,M,544.525
00/06-12-081-04W5/0,598.048,593.872,598.048,M,598.048
00/06-12-082-09W4/0,2425,2413,2425,F,739.14
00/06-12-088-17W4/0,538.3,534.8,538.3,M,538.3
00/06-13-067-07W4/0,652.41,648.63,652.41,M,652.41
00/06-13-067-08W4/0,650.73,646.93,650.73,M,650.73
00/06-13-067-12W4/0,607.6,604.6,607.6,M,607.6
00/06-13-068-03W4/0,722.86,722.86,726.87,M,726.87
00/06-13-070-22W4/0,672.3,672.3,676.4,M,676.4
00/06-13-073-06W4/0,693.7,693.7,697.9,M,697.9
00/06-13-073-22W4/0,634.136,634.136,637.184,M,637.184
00/06-13-075-12W4/0,672.6,672.6,676.1,M,676.1
00/06-13-082-03W5/0,580.034,580.034,583.387,M,583.387
00/06-13-092-21W4/0,549.3,545.44,549.3,M,549.3
00/06-14-070-01W5/0,604.723,604.723,607.771,M,607.771
00/06-14-079-03W5/0,648.9,645.2,648.9,M,648.9
00/06-14-083-16W4/0,1731,1713.5,1731,F,527.6088
00/06-14-083-23W4/0,607.771,607.771,609.295,M,609.295
00/06-15-074-08W4/0,683.67,683.67,686.87,M,686.87
00/06-15-077-03W5/0,718.718,718.718,721.766,M,721.766
00/06-15-080-22W4/0,586,586,590.5,M,590.5
00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02
00/06-16-070-09W4/0,600.87,600.87,603.87,M,603.87
00/06-16-077-06W4/0,566.105,566.105,569.641,M,569.641
00/06-16-079-16W4/0,578.51,575.462,578.51,M,578.51
00/06-16-079-21W4/0,563.5,563.5,566.8,M,566.8
00/06-16-083-13W4/0,1884,1876,1884,F,574.2432
00/06-17-067-06W4/0,656.96,653.87,656.96,M,656.96
00/06-17-070-04W5/0,710.35,710.35,714.05,M,714.05
00/06-17-076-10W4/0,668.26,668.26,672.39,M,672.39
00/06-17-076-19W4/0,577.596,577.596,581.558,M,581.558
00/06-17-077-25W4/0,722.376,722.376,726.338,M,726.338
00/06-17-078-01W5/0,606.552,606.552,610.514,M,610.514
00/06-18-070-26W4/0,623.316,623.316,626.059,M,626.059
00/06-18-076-13W4/0,674.43,674.43,677.88,M,677.88
00/06-18-083-03W4/0,1581,1569,1581,F,481.8888
00/06-19-069-04W4/0,687.9,687.9,691.6,M,691.6
00/06-19-071-10W4/0,648.81,648.81,651.64,M,651.64
00/06-19-071-17W4/0,588.569,588.569,591.617,M,591.617
00/06-19-075-24W4/0,765.505,765.505,769.01,M,769.01
00/06-19-078-04W4/0,566,562.1,566,M,566
00/06-19-083-22W4/0,606.8,606.8,610.4,M,610.4
00/06-19-086-18W4/0,526.2,522.5,526.2,M,526.2
00/06-19-089-18W4/0,491.7,488.7,491.7,M,491.7
00/06-20-069-16W4/0,561.899,561.899,565.252,M,565.252
00/06-20-071-05W4/0,678.2,678.2,681.5,M,681.5
00/06-20-074-06W4/0,640.5,640.5,643.6,M,643.6
00/06-20-076-14W4/0,694.7,694.7,698.7,M,698.7
00/06-20-078-02W5/0,645.262,641.635,645.262,M,645.262
00/06-20-078-11W4/0,721.462,704.088,721.462,M,721.462
00/06-20-081-24W4/0,599.05,599.05,603.3,M,603.3
00/06-20-084-05W4/0,474.6,471,474.6,M,474.6
00/06-21-071-25W4/0,598.322,598.322,601.37,M,601.37
00/06-21-073-20W4/0,708.508,708.508,711.556,M,711.556
00/06-21-075-25W4/0,724.51,724.51,728.624,M,728.624
00/06-21-077-22W4/0,701.954,701.954,704.088,M,704.088
00/06-22-069-05W4/0,670.1,670.1,673.8,M,673.8
00/06-22-069-06W4/0,710.5,710.5,714.2,M,714.2
00/06-22-070-25W4/0,643.433,643.433,647.243,M,647.243
00/06-22-071-02W5/0,584.911,584.911,589.026,M,589.026
00/06-22-072-16W4/0,579.577,579.577,582.473,M,582.473
00/06-22-075-19W4/0,603.099,600.151,603.099,M,603.099
00/06-22-078-04W4/0,558.4,554.5,558.4,M,558.4
00/06-22-082-12W4/0,744.42,740.69,744.42,M,744.42
00/06-23-068-12W4/0,595.2,591.38,595.2,M,595.2
00/06-23-069-11W4/0,634.4,634.4,638.8,M,638.8
00/06-23-072-19W4/0,628.2,628.2,631.8,M,631.8
00/06-23-074-14W4/0,770.81,770.81,774.16,M,774.16
00/06-23-074-17W4/0,590.398,590.398,592.836,M,592.836
00/06-23-075-07W4/0,680.874,680.874,680.874,M,680.874
00/06-23-077-15W4/0,676.9,673,676.9,M,676.9
00/06-23-082-22W4/0,622.554,622.554,626.364,M,626.364
00/06-23-083-18W4/0,554.9,551.9,554.9,M,554.9
00/06-23-085-11W4/0,524.9,520,524.9,M,524.9
00/06-23-085-18W4/0,1668,1657,1668,F,508.4064
00/06-24-070-21W4/0,645.78,645.78,649.13,M,649.13
00/06-24-072-10W4/0,666.96,666.96,666.93,M,666.93
00/06-24-073-17W4/0,571.988,571.988,574.853,M,574.853
00/06-24-074-25W4/0,678.302,678.302,681.746,M,681.746
00/06-24-077-01W5/0,680.618,680.618,683.362,M,683.362
00/06-24-077-16W4/0,653.8,653.8,657.6,M,657.6
00/06-24-081-23W4/0,610,610,614.3,M,614.3
00/06-24-083-16W4/0,1724.5,1713.5,1724.5,F,525.6276
00/06-24-084-16W4/0,531.2,527.7,531.2,M,531.2
00/06-25-070-16W4/0,580.53,580.53,583.73,M,583.73
00/06-25-070-22W4/0,680.17,676.9,680.17,M,680.17
00/06-25-073-17W4/0,574.853,574.853,577.901,M,577.901
00/06-25-074-17W4/0,616,614,616.61,M,616.61
00/06-25-075-12W4/0,669.524,669.524,672.602,M,672.602
00/06-25-078-14W4/0,681.7,678.2,681.7,M,681.7
00/06-25-078-25W4/0,589.483,589.483,593.019,M,593.019
00/06-25-081-09W4/0,709.879,706.344,709.879,M,709.879
00/06-25-082-09W4/0,2432,2422,2432,F,741.2736
00/06-25-082-15W4/0,570.6,566.8,570.6,M,570.6
00/06-26-068-02W4/0,709.94,709.94,713.29,M,713.29
00/06-26-068-07W4/0,632.88,632.88,636.48,M,636.48
00/06-26-070-13W4/0,577.2,577.2,580.8,M,580.8
00/06-26-071-01W5/0,603.9,603.9,607.7,M,607.7
00/06-26-074-03W4/0,657.2,657.2,660.66,M,660.66
00/06-26-075-21W4/0,698.297,698.297,702.412,M,702.412
00/06-26-078-19W4/0,556.74,556.74,561.74,M,561.74
00/06-26-082-20W4/0,594.36,594.36,596.798,M,596.798
00/06-26-086-18W4/0,510.9,510.9,510.9,M,510.9
00/06-27-067-10W4/0,649.15,645,649.15,M,649.15
00/06-27-068-18W4/0,546.659,546.659,550.164,M,550.164
00/06-27-071-08W4/0,653.4,653.4,657.2,M,657.2
00/06-27-082-14W4/0,1919,1905.3,1919,F,584.9112
00/06-27-083-09W4/0,2465.25,2455.75,2465.25,F,751.4082
00/06-27-083-18W4/0,1838,1831,1838,F,560.2224
00/06-28-070-10W4/0,633.84,633.84,630.84,M,630.84
00/06-28-072-10W4/0,659.79,659.79,662.39,M,662.39
00/06-28-076-17W4/0,692.7,692.7,696,M,696
00/06-28-076-19W4/0,576.4,573.1,576.4,M,576.4
00/06-28-079-15W4/0,622.402,619.354,622.402,M,622.402
00/06-28-087-22W4/0,536.448,536.448,539.801,M,539.801
00/06-29-068-04W4/0,710.98,710.98,714.48,M,714.48
00/06-29-071-01W5/0,585.826,585.826,588.874,M,588.874
00/06-29-071-22W4/0,641.421,641.421,644.896,M,644.896
00/06-29-077-02W5/0,678.3,678.3,683.7,M,683.7
00/06-29-080-24W4/0,546.811,546.811,552.907,M,552.907
00/06-29-092-20W4/0,1708,1698,1708,F,520.5984
00/06-30-069-09W4/0,749.7,749.7,753.2,M,753.2
00/06-30-069-17W4/0,564.5,564.5,567.5,M,567.5
00/06-30-071-06W4/0,660.1,660.1,665.16,M,665.16
00/06-30-071-09W4/0,678.5,678.5,6810.4,M,678.5
00/06-30-072-04W4/0,698.8,698.8,705,M,705
00/06-30-075-13W4/0,736,736,739.2,M,739.2
00/06-30-075-14W4/0,751.759,751.759,754.38,M,754.38
00/06-30-076-02W5/0,889.711,886.054,889.711,M,889.711
00/06-30-078-05W4/0,555.82,552.72,555.82,M,555.82
00/06-30-081-07W4/0,707.9,704,707.9,M,707.9
00/06-31-067-15W4/0,607.162,606.095,607.162,M,607.162
00/06-31-068-12W4/0,591.922,591.922,594.665,M,594.665
00/06-31-068-18W4/0,551.993,551.993,554.431,M,554.431
00/06-31-070-11W4/0,601.69,601.69,605.66,M,605.66
00/06-31-070-23W4/0,627.8,627.8,631,M,631
00/06-31-072-16W4/0,575.584,575.584,578.815,M,578.815
00/06-31-073-04W4/0,664.1,664.1,669.1,M,669.1
00/06-31-074-19W4/0,616.61,616.61,619.658,M,619.658
00/06-31-076-12W4/0,698.998,698.998,702.564,M,702.564
00/06-31-076-18W4/0,563.575,563.575,567.538,M,567.538
00/06-31-078-10W4/0,2143,2128,2143,F,653.1864
00/06-31-083-17W4/0,541.4,537.8,541.4,M,541.4
00/06-31-089-19W4/0,517.4,517.4,521,M,521
00/06-32-069-04W4/0,685.9,685.9,689.6,M,689.6
00/06-32-070-25W4/0,661,661,665,M,665
00/06-32-073-09W4/0,656.52,656.52,659.42,M,659.42
00/06-32-074-16W4/0,659.83,659.83,662.86,M,662.86
00/06-32-075-04W4/0,602.4,598.7,602.4,M,602.4
00/06-32-079-02W5/0,621.9,617.8,621.9,M,621.9
00/06-32-082-16W4/0,1771.5,1760.9,1771.5,F,539.9532
00/06-33-070-05W4/0,653.8,653.8,657.5,M,657.5
